Species,Mass,Temperature,MR,AvgMass,Q10SMR,Reference
Sminthopsis murina,19,35,21.47,19,29.27765,[167]
Myrmecobius fasciatus,400,32.5,142.4,400,251.4592,[167]
Caluromys derbianus,329,35,225.0225,328.5,306.8528,[167;169]
Chironectes minimus,935,34.95,456.5033,934.5,625.7388,[167]
Didelphis marsupialis,1165,35,570.605,1164.5,778.1077,[167]
Didelphis virginiana,2488,34.96666667,831.9328,2488.333,1138.385,[167]
Lutreolina crassicaudata,812,35.8,406,812,509.6935,[167]
Philander opossum,751,35.8,337.95,751,424.2633,[167]
Gracilinanus microtarsus,13,35,18.72,13,25.5276,[167]
Marmosa robinsoni,122,34,97.6,122,147.5895,[167]
Metachirus nudicaudatus,336,35,204.96,336,279.4945,[167]
Monodelphis brevicaudata,75.5,33.65,56.51175,75.5,88.60531,[167]
Monodelphis domestica,104,32.6,60.008,104,104.8761,[167]
Acrobates pygmaeus,14,34.7,15.12,14,21.26799,[167]
Burramys parvus,44.3,36.1,36.769,44.3,44.75014,[167;170]
Cercartetus conncinnus,18.6,34.4,22.32,18.6,32.38465,[25]
Cercartetus lepidus,12.6,33.7,18.774,12.6,29.28416,[25]
Cercartetus nanus,70,35.6,60.2,70,77.15424,[167]
Petaurus breviceps,127,35.86666667,89.93978,127.3333,112.1351,[167]
Spilocuscus maculatus,4250,34.7,1143.25,4250,1608.11,[167]
Trichosurus vulpecula,2005,36,731.6425,2004.5,899.7082,[167]
Phascolarctos cinereus,4765,35.8,1034.005,4765,1298.093,[167]
Bettongia gaimardi,1385,35.6,641.255,1385,821.8529,[131;167]
Bettongia penicillata,1018,37.2,561.427,1018,609.8379,[167;171]
Potorous tridactylus,976,35.85,416.4267,976,520.0876,[167] 
Aepyprimnus rufescens,2820,36.5,1071.6,2820,1251.367,[172]
Petauroides volans,1141,35.4,573.923,1141,750.9261,[167]
Pseudocheirus occidentalis,861,36.5,408.975,861,477.583,[167]
Pseudocheirus peregrinus,916,37.4,430.5198,916,458.0722,[173]
Tarsipes rostratus,10,36.6,29,10,33.5166,[167]
Lasiorhinus latifrons,29917,35.3,2991.7,29917,3955.048,[167]
Notoryctes caurinus,34,30.8,21.42,34,45.09303,[167]
Echymipera kalabu,695,35,340.55,695,464.3923,[167]
Echymipera rufescens rufescens,1276,35.2,541.024,886.5754,556.7894,[167]
Isoodon auratus,428,33.8,149.8,428,231.2585,[167]
Isoodon macrourus,1551,35.9,573.87,1551,713.0277,[167]
Isoodon obesulus,717,33.9,222.27,717,339.6069,[167]
Macrotis lagotis,1294,35,449.665,1294,613.1874,[167]
Perameles gunni,837,35.2,420.174,837,561.2457,[167]
Perameles nasuta,645,36.1,316.05,645,384.6524,[167]
Ornithorhynchus anatinus,693,34,194.04,693,293.4248,[6]
Zaglossus bruijni,10300,30.8,1215.4,10300,2558.64,[51]
Tachyglossus aculeatus,2725,30.7,430.55,2725,915.8064,[51]
Tachyglossus setosus,3580,30,547.74,3580,1252.522,[51]
